spec_type,spec_text,code_target,similarity
Message,消息传递：教学管理系统 发送 显示可供选择的课程列表() 给 终端设备,教学管理系统::显示课程列表,0.749
Message,消息传递：学生 发送 选择课程(课程) 给 终端设备,终端设备交互::提交课程选择,0.747
Message,消息传递：终端设备 发送 提交课程选择(课程) 给 教学管理系统,终端设备交互::提交课程选择,0.753
Message,消息传递：教学管理系统 发送 课程选择成功() 给 终端设备,教学管理系统::确认课程选择,0.745
Message,消息传递：教学管理系统 发送 更新学生个人课表() 给 终端设备,教学管理系统::更新个人课表,0.785
Message,消息传递：学生 发送 点击查看个人课表按钮() 给 终端设备,终端设备交互::请求个人课表,0.667
Message,消息传递：终端设备 发送 请求个人课表信息() 给 教学管理系统,终端设备交互::请求个人课表,0.757
Message,"消息传递：教学管理系统 发送 显示个人课表信息(课程名称, 上课时间, 上课地点) 给 终端设备",教学管理系统::显示个人课表,0.77
Message,消息传递：学生 发送 点击查询成绩按钮() 给 终端设备,终端设备交互::请求成绩信息,0.601
Message,消息传递：终端设备 发送 请求成绩信息() 给 教学管理系统,终端设备交互::发送凭证,0.716
Message,"消息传递：教学管理系统 发送 显示成绩信息(课程名称, 成绩) 给 终端设备",教学管理系统::显示成绩信息,0.78
Message,消息传递：教师 发送 打开系统登录界面() 给 终端设备,终端设备交互::发送凭证,0.728
Message,"消息传递：终端设备 发送 发送用户名和密码(用户名, 密码) 给 教学管理系统",终端设备交互::发送凭证,0.82
Message,"消息传递：教学管理系统 发送 验证用户名和密码(用户名, 密码) 给 服务器",教学管理系统::验证凭证,0.762
Message,消息传递：服务器 发送 验证结果(验证通过/验证失败) 给 教学管理系统,教学管理系统::验证凭证,0.664
Message,消息传递：教学管理系统 发送 返回验证结果(验证通过) 给 终端设备,终端设备交互::发送凭证,0.723
Message,消息传递：教学管理系统 发送 跳转到教师功能界面() 给 终端设备,终端设备交互::发送凭证,0.724
Message,消息传递：教学管理系统 发送 返回验证结果(验证失败) 给 终端设备,终端设备交互::发送凭证,0.696
Message,消息传递：教学管理系统 发送 提示用户名或密码错误请重新输入() 给 终端设备,终端设备交互::发送凭证,0.735
Message,消息传递：教师 发送 点击查看所授课程及学生名单按钮() 给 终端设备,终端设备交互::请求所授课程及学生名单,0.674
Message,消息传递：终端设备 发送 请求所授课程及学生名单信息() 给 教学管理系统,终端设备交互::请求所授课程及学生名单,0.787
Message,消息传递：教学管理系统 发送 共享教师课程数据(课程数据) 给 服务器,服务器处理::共享课程数据,0.858
Message,消息传递：服务器 发送 教师课程数据已共享() 给 教学管理系统,服务器处理::共享课程数据,0.859
Message,"消息传递：教学管理系统 发送 显示所授课程及学生名单信息(课程名称, 学生姓名, 学号) 给 终端设备",教学管理系统::显示所授课程及学生名单,0.755
Message,消息传递：管理员 发送 打开系统登录界面() 给 终端设备,终端设备交互::打开登录界面,0.729
Message,"消息传递：终端设备 发送 发送用户名和密码(用户名, 密码) 给 教学管理系统",终端设备交互::发送凭证,0.82
Message,"消息传递：教学管理系统 发送 验证用户名和密码(用户名, 密码) 给 服务器",教学管理系统::验证凭证,0.762
Message,消息传递：服务器 发送 验证结果(验证通过/验证失败) 给 教学管理系统,教学管理系统::验证凭证,0.664
Message,消息传递：教学管理系统 发送 返回验证结果(验证通过) 给 终端设备,终端设备交互::发送凭证,0.723
Message,消息传递：教学管理系统 发送 跳转到管理员功能界面() 给 终端设备,终端设备交互::发送凭证,0.773
Message,消息传递：教学管理系统 发送 返回验证结果(验证失败) 给 终端设备,终端设备交互::发送凭证,0.696
Message,消息传递：教学管理系统 发送 提示用户名或密码错误请重新输入() 给 终端设备,终端设备交互::发送凭证,0.735
Message,消息传递：管理员 发送 点击系统内容管理按钮() 给 终端设备,终端设备交互::请求系统内容管理,0.662
Message,消息传递：终端设备 发送 请求系统内容管理功能() 给 教学管理系统,终端设备交互::请求系统内容管理,0.768
Message,消息传递：教学管理系统 发送 存储管理员系统配置数据(系统配置数据) 给 服务器,教学管理系统::存储系统配置数据,0.833
Message,消息传递：服务器 发送 系统配置数据已保存() 给 教学管理系统,服务器处理::共享课程数据,0.74
Message,"消息传递：教学管理系统 发送 显示可管理内容选项(课程信息管理, 用户权限管理) 给 终端设备",教学管理系统::显示可管理选项,0.753
Message,"消息传递：管理员 发送 进行相应操作(添加/修改/删除课程信息, 设置用户权限) 给 终端设备",终端设备交互::发送凭证,0.718
Message,消息传递：终端设备 发送 提交操作请求(操作) 给 教学管理系统,终端设备交互::发送凭证,0.759
Message,消息传递：教学管理系统 发送 操作成功() 给 终端设备,终端设备交互::发送凭证,0.731
Control,控制结构：alt 条件是 验证通过,教学管理系统::验证凭证,0.591
Control,控制结构：alt 条件是 验证失败,教学管理系统::确认操作,0.484
